indices,classes,samples,attributes,Sensitivity,Specificity
699,12,5000,200,5.6,92.8
700,12,5000,225,10.0,92.76
701,12,5000,250,4.4,94.63
702,13,5000,10,20.4,92.67
703,13,5000,20,32.4,84.78
704,13,5000,25,22.0,89.16
705,13,5000,30,23.2,91.18
706,13,5000,40,23.6,87.62
707,13,5000,50,22.4,83.96
708,13,5000,60,25.6,82.38
709,13,5000,70,28.8,80.55
710,13,5000,75,24.4,83.07
711,13,5000,80,18.4,85.89
712,13,5000,90,19.2,84.53
713,13,5000,100,15.2,88.4
714,13,5000,125,12.8,87.64
715,13,5000,150,11.2,87.33
716,13,5000,175,9.2,91.62
717,13,5000,200,10.4,92.02
718,13,5000,225,10.0,92.02
719,13,5000,250,7.2,94.04
720,14,5000,10,25.6,93.22
721,14,5000,20,33.6,83.64
722,14,5000,25,19.2,88.27
723,14,5000,30,21.2,90.25
724,14,5000,40,25.2,86.48
725,14,5000,50,29.2,83.77
726,14,5000,60,29.6,80.99
727,14,5000,70,21.6,86.88
728,14,5000,75,25.2,82.84
729,14,5000,80,24.8,85.54
730,14,5000,90,23.6,82.44
731,14,5000,100,12.8,88.23
732,14,5000,125,19.2,87.56
733,14,5000,150,16.4,87.31
734,14,5000,175,11.2,90.74
735,14,5000,200,13.2,89.87
736,14,5000,225,12.8,89.62
737,14,5000,250,4.8,93.05
738,15,5000,10,26.8,92.84
739,15,5000,20,38.8,84.11
740,15,5000,25,26.8,87.05
741,15,5000,30,26.8,90.29
742,15,5000,40,28.0,85.09
743,15,5000,50,21.2,82.76
744,15,5000,60,22.0,88.06
745,15,5000,70,23.6,85.77
746,15,5000,75,15.6,86.95
747,15,5000,80,22.0,83.35
748,15,5000,90,22.8,82.0
749,15,5000,100,16.4,87.09
750,15,5000,125,17.6,85.35
751,15,5000,150,22.0,85.07
752,15,5000,175,12.4,88.97
753,15,5000,200,13.2,88.74
754,15,5000,225,10.8,91.49
755,15,5000,250,6.4,92.65
756,2,10000,10,48.6,80.2
757,2,10000,50,17.8,90.86
758,2,10000,75,24.2,81.31
759,2,10000,100,20.4,86.13
760,2,10000,250,8.4,94.09
761,2,10000,500,1.2,98.95
762,3,10000,10,25.8,92.72
763,3,10000,50,17.6,83.52
764,3,10000,75,23.8,78.93
765,3,10000,100,10.8,87.25
766,3,10000,250,1.8,93.91
767,3,10000,500,0.2,97.35
768,5,10000,10,35.6,84.48
769,5,10000,50,20.0,86.49
770,5,10000,75,22.0,83.93
771,5,10000,100,11.6,90.61
772,5,10000,250,5.2,95.12
773,5,10000,500,1.2,98.84
774,7,10000,10,17.8,95.32
775,7,10000,50,22.2,86.73
776,7,10000,75,17.8,88.97
777,7,10000,100,12.0,91.0
778,7,10000,250,2.8,97.35
779,7,10000,500,0.2,99.31
780,9,10000,10,18.4,94.54
781,9,10000,50,19.6,90.09
782,9,10000,75,18.4,89.95
783,9,10000,100,14.8,90.6
784,9,10000,250,3.4,97.37
785,9,10000,500,0.2,99.44
786,11,10000,10,28.4,93.57
787,11,10000,50,24.8,87.14
788,11,10000,75,19.6,85.72
789,11,10000,100,19.4,86.47
790,11,10000,250,5.2,96.32
791,11,10000,500,1.2,98.67
792,2,25000,10,69.44,77.83
793,2,25000,50,14.8,93.72
794,2,25000,75,23.76,85.49
795,2,25000,100,15.6,90.2
796,2,25000,250,3.52,97.8
797,2,25000,500,0.0,100.0
798,3,25000,10,24.32,92.81
799,3,25000,50,21.68,84.0
800,3,25000,75,9.52,90.33
801,3,25000,100,11.84,87.17
802,3,25000,250,3.12,93.7
803,3,25000,500,0.0,100.0
804,5,25000,10,42.0,85.02
805,5,25000,50,20.8,86.05
806,5,25000,75,20.64,83.65
807,5,25000,100,11.44,90.56
808,5,25000,250,4.0,94.74
809,5,25000,500,0.48,98.42
810,7,25000,10,21.04,95.43
811,7,25000,50,23.2,86.38
812,7,25000,75,16.4,88.75
813,7,25000,100,12.64,91.04
814,7,25000,250,2.64,97.3
815,7,25000,500,0.16,99.27
816,9,25000,10,24.72,94.41
817,9,25000,50,19.12,89.68
818,9,25000,75,14.8,90.24
819,9,25000,100,12.64,90.42
820,9,25000,250,2.4,97.16
821,9,25000,500,0.16,99.52
822,11,25000,10,27.28,93.38
